message,category
estimasi kendala internet down untuk kunjungan berapa lama,Information
kalo beli modem,Information
internet saya slow,Information
apakah bisa menggunakan dns selain dari biznet,Information
estimasi layanan jika melakukan terminasi berapa lama,Request
promo untuk pelanggan baru,Information
hotspot biznet,Information
ubah paket ke d,Request
apakah bisa berlangganan kembali jika sudah melewati masa tenggang selama  hari,Information
bagaimana cara login ke mybiznet apakah ada tutorial atau langkah langkahnya,Information
saya mau pasang di soe,Request
bukan dw tapi d,Information
min ada beberapa channel tv yang ilang,Information
customer service,Information
apakah perangkat akan diambil jika modemnya membeli,Information
untuk permintaan add on kouta bisa melalui apa saja,Request
promo desember apa,Information
apakah biznet home mengeluarkan invoice fisik,Information
cara melakukan relokasi,Request
mau beli quota,Information
harga paling murah berapa,Information
jika saya terminasi sebelum masa kontak langganan berakhir dikarenakan alamat baru belum tercakup apakah  tidak dikenakan biaya pinati,Request
internet saya sangat lambat apakah dapat dibantu dioptimalkan,Problem
berapa perangkat untuk dw,Information
mo beli quota,Information
cara reset password mybiznet,Request
sulawesi ada paket apa aja,Information
mau refund dana biznet,Information
saya ada keperluan ganti paket tapi masih panjang masa aktifnya apakah bisa diproses sekarang,Request
apakah layanan home memiliki jatuh tempo,Information
bagaimana cara terminasi,Request
mau beli quota,Information
tidak saya ingin membeli modem biznet baru,Request
apakah untuk layanan d mendapatkan ip static,Information
ada promo apa saja yang berlaku,Information
youtube nya putus putus,Problem
apakah bisa freeze akun,Information
pakai yang d bisa gak,Information
mau berhenti berlangganan belum pasti nanti akan digunakan kembali atau tidak pak,Information
mo beli extra quota,Information
hi sisa ekstra kuota saya brp,Information
kalo modem sewa totalnya berapa,Information
apakah ada promo,Information
bagaimana cara memberhentikan kartu kredit,Information
oke biatanya berapa,Information
halo internet saya down,Information
internet saya down sudah  hari apa ada kompensasi,Information
berapa perangkat untuk dw,Information
bagaimana cara untuk pemutusan jaringan,Information
apakah saya bisa menggunakan promo untuk paket saya,Information
layanan internet saya lambat boleh diinformasikan penyebab dan solusinya,Problem
bagaimana jika ingin relokasi namun alamat barunya tidak tercakup,Request
internet saya down,Information
cakupan bojong gede,Information
apakah area saya di cibarusah sudah tercakup,Information
apakah ada diskon untuk pembelian modem,Information
los merah menyala sejak pagi,Information
cara beli promo gemana,Information
internet saya untuk bermain game genshin impact ping tinggi apakah ada solusi,Information
kurang menarik promonya,Information
sudah tapi masih lambat,Problem
chromecast tidak bisa digunakan,Problem
paket apa yang tersedia untuk daerah sulawesi min,Information
interner down,Information
untuk username login mybiznet apa ya kak,Information
saya mau tambah data nomor telp,Information
mau ganti paket,Request
kalau mau tambah aku biznet baru dengan ktp yang sama apakah bisa,Information
relokasi,Request
untuk biaya pemasangannya apakah dibayarkan di awal,Information
internet down nih gemana,Information
kapan akan dikirimkan reminder pembayaran,Information
saya mau beli quota,Information
upload dan download tidak symmetrical,Information
apakah kecepatan internet biznet home tetap konstan sepanjang waktu,Information
bagaimana cara saya mengetahui ip dari game di pc saya,Information
alamat saya sudah tercover belum ya,Information
bagaimana cek ping dan tracert aplikasi di android,Information
bisakah datangkan teknisi,Information
internet terputus,Problem
apakah pembelian modem akan menghanguskan sisa masa aktif,Information
untuk perubahan paket layanan membutuhkan waktu berapa lama,Request
inet down,Information
koneksi down,Information
apakah dikenakan biaya jika alamat instalasi menggunakan jalur kabel bawah tanah,Request
kalo layanan saya d dan ingin menggunakan iptv tagihannya di kenakan berapa,Request
itu dikenakan biaya tidak,Information
saya ingin berlangganan namun bingung harus mulai darimana,Request
berapa lama waktu yang dibutuhkan untuk melakukan pembelian modem,Request
internet saya mati,Problem
biaya pasang baru biznet berapa,Request
berapa lama ip biznet home terganti,Request
mau  deh kak,Information
apakah dapat ip publik,Information
cara mengetahui masa aktif akun,Information
biznet metronet,Information
packet loss,Information
beberapa website tidak bisa diakses,Problem
berapa bandiwdth yang didapatkan di paket biznet home d,Information
min ciri ciri tiang biznet gimana,Information
mau masuk ke modem,Information
apakah stb tv biznet bisa ditukar jika rusak,Information
mau cek kuota dong,Information
bisa dicek id pelanggan ini  los merah menyala,Information
bagaimana cara ganti ssid dan password wifi,Request
soalnya ini internet lambat,Problem
biaya relokasi,Request
berapa jarak jangkauan signal wifi  ghz,Information
apakah dikenakan biaya jika alamat instalasi menggunakan jalur kabel bawah tanah,Request
saya salah bayar ke nomor virtual account orang lain apa yang harus saya lakukan,Information
i want to buy extra quota,Information
berapa biaya relokasi,Request
saya mau beli quota,Information
ke biznet home d bisa ga,Information
mau relokasi,Request
packet loss,Information
bisa dicek id pelanggan  los meah menyala sejak pagi,Information
saya ingin mengecek masa aktif akun saya sampai kapan,Request
nomornya call center berapa,Information
cara stop auto debet,Information
klo saya mau terminasi gimana,Request
bagaimana cara ikut promo,Information
ada promo apa bulan ini,Information
terimakasih siapa nama atasan anda,Information
cara ganti password secara mandiri gmna,Request
harga paket d,Information
harga produk biznet,Information
harga mesh wifi berapa,Information
saya terminate aja lah,Information
jika modem saya rusak apa indikasinya,Information
tanggal berapa biasanya akan terdebet untuk kartu kredit,Information
cara restart modem,Information
saya cek udah tercover saya bisa ajukan sendiri atau perlu oleh customer ya,Information
totalin harga untuk ini berapa sewa modem,Information
saya salah melakukan pembayaran ke akun orang lain,Information
mau beli quota,Information
apa status modem saya,Information
mo beli extra quota,Information
apakah deco m tplink mesh bisa digunakan untuk bangunan bertingkat,Information
penyebab jaringan slow,Information
saya ga bisa buka detikcom,Information
harga promo,Information
mau ajuin perluasan wilayah gimana caranya,Information
i want to buy extra quota,Information
terminate gimana,Information
internet down sejak semalam,Information
apakah perubahan paket menghanguskan masa aktif,Request
indikator loss di modem,Information
masa aktif saya brp,Information
remote iptv saya rusak,Information
benefit yang didapatkan untuk paket d,Information
ingin ganti paket aja,Request
pembayarannya bisa di branch terdekat gak,Information
apakah dikenakan biaya tambahan jika ingin merubah layanan,Request
km namanya emang siapa ya,Information
harga internet dw,Information
tidak cukup terima kasih,Information
promo berlangganan d buy daerah bogor,Information
min kendala ke facebook berikut hasil tracert  tracing route to facebookcom nover a maximum of  hopsnn        ms     ms     ms  n        ms      ms      ms  n        ms      ms      ms  n        ms      ms      ms  n        ms      ms      ms  aeprcgktfbnwnet n        ms      ms      ms  poaswcgktfbnwnet n        ms      ms      ms  pswcgktfbnwnet n        ms      ms      ms  mswagcgktfbnwnet n        ms      ms      ms  edgestarminishvcgkfacebookcom,Information
internet lambat sekali ada saran mengatasinya,Problem
halo,Information
apakah bisa diinformasikan status perangkat modem saya ini sewa atau beli,Information
kuota saya tidak ter reset,Request
kalo harga paket gamers d berapa,Information
saya melakukan salah bayar tagihan hanya karena salah  digit saat memasukan nomor billing id apakah ada solusi,Information
min saya dibatam kena ppn  ga,Information
jalan gajah nomor nkel pandau hulu iinkec medan areankota medan,Information
apakah bisa request pemisahan akun jika dalam satu akun terdaftar  billing pembayaran,Information
iya saya memerlukan bantuan boleh berbicara dengan live agent,Information
ada paket apa saja di biznet home,Information
bagaimana cara perpindahan modem ke lokasi yang baru,Information
berapa harga stb,Information
saya mau beli quota,Information
kita udah install analyzer aman ngga ada masalah,Problem
apakah biznet ada sistem kontrak untuk pemasangan baru,Information
apa bisa mendaftarkan autodebet untuk pembayaran biznet,Information
bisa ga kalo saya ganti paket layanan dibawahnya,Request
apakah ada promo,Information
ini gimana caranya,Information
hallosaya ingin melakukan pengecekan fup akun layanan saya,Request
cara melakukan terminasi,Request
kalo saya mau promo  layanan d kena berapa tagihannya,Information
apakah biznet ada pemblokiran ip,Information
harga promo,Information
mau tanya inet saya down,Information
promo  saja,Information
harga promo biznet ada,Information
customer service,Information
bisa menggunakan bahasa indonesia,Information
berapa harga stb biznet,Information
apa kesalahan bayar ke akun lain bisa direfund,Information
saya mau relokasi,Request
saya mau pasang kak untuk kebutuhan  orang kirakira paket yang cocok apa ya,Request
untuk biaya relokasi itu berapa ya min,Request
i have red blinking lamp on my modem what should i do,Information
saya ingin membayarkan tagihan melalui bank bsi apakah bisa,Request
mau bulanan saja,Information
gak tau males pengen beli truck,Information
biaya pinalty terminasi,Request
jika saya ingin daftar biznet untuk kosan baiknya menggunakan layanan yang mana,Request
apakah akun saya bisa dialihkan ke non fup,Information
harga paket yang tersedia untuk di sumatera,Information
saya mau beli quota,Information
mengapa saya tidak dapat mengisi formulir relokasi setelah disubmit hanya blank,Request
cara add on kuota,Request
kalo beli modem harganya berapa ya,Information
layanan biznet home yang di rekomendasikan untuk main game,Information
siang saya ganjar saya mau berlangganan layanan internet dan tv untuk dirumah saya di biznet ini layanannya apa saja ya,Information
cara pembayaran melalui tokopedia,Information
promo d home modem buy berapa,Information
berapa perangkat untuk d,Information
